,notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
13,3/27/2020,Temporary Plant Layoff,Production Glue LLC,"252 W. 37th Street, Floor 7 New York, NY 10018",New York County,(917) 304-3124,Event Company,60,,3/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
14,3/16/2020,Temporary Plant Closing,Renaissance Westchester,"80 West Oak Lane Rd. West Harrison, NY 10604",Westchester County,(917) 838-8428,Hotel,130,130,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE",Temporary Plant Closing
15,5/15/2020,Plant Layoff,Centric Brands Inc. (Corporate Office and other satellite offices in New York City),"350 Fifth Avenue New York, NY 10118",New York County,(646) 839-7470,"Design, produce and manage kid's wear and women's and men's accessories and apparel.",135,,5/15/2020,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Plant Layoff
16,5/18/2020,Temporary Plant Closing,"Glossier, Inc.","123 Lafayette St. New York, NY 10013",New York County,(929) 456-0020,Skincare and makeup products,91,91,6/1/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
17,3/20/2020,Plant Layoff,"Embarque N.Y., Inc.","24-59 47th Street Astoria, NY 11103",Queens County,(718) 784-5720,Personal Chauffeur & Driving Service,11,,Separations,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Plant Layoff
18,5/11/2020,Plant Layoff,"Carey Limousine N.Y., Inc.","24-59 47th Street Astoria, NY 11103",Queens County,(718) 784-5720,Luxury transportation services,35,,5/15/2020,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Plant Layoff
19,5/18/2020,Temporary Plant Closing/Layoff,"Tarrytown House Estate on the Hudson (Pyramid Tarrytown Management, LLC)","49 East Sunnyside Lane Tarrytown, NY 10591",Westchester County,(914) 591-3121,Hotel,91,91,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing/Layoff
20,5/18/2020,Temporary Plant Closing,The YMCA of Greater Rochester,"Association Office and all branches in Monroe County 444 East Main Street Rochester, NY 14604",Monroe County,(585) 263-3926,Social Organization,"2,090",2090,3/15/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
21,3/26/2020,Temporary Plant Closing,Club Fit,"584 N. State Rd. Briarcliff Manor, NY 10510",Westchester County,(914) 250-2759,Fitness Center,462,,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
22,5/19/2020,Plant Layoff,Gate Gourmet (Astoria Airport kitchen - LGA Kitchen),"18-15 45th Street Astoria, NY 11105",Queens County,(404) 801-3911,Catering Services,67,,Began,Unforeseeable business circumstances prompted by COVID-19,IBT/HERE Employee Representatives' Council,Plant Layoff
23,5/13/2020,Plant Layoff,Union for Reform Judaism,"633 Third Avenue New York, NY 10017",New York County,(212) 650-4000,Religious Organization,24,,6/30/2020,Unforeseeable business circumstances prompted by COVID-19,District Council 37,Plant Layoff
24,5/20/2020,Plant Layoff,"530 Hospitality, LLC dba The Skylark","200 W. 39th St. New York, NY 10018",New York County,(347) 691-4442,Restaurant,59,,5/24/2020;,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
25,5/20/2020,Plant Layoff,"Pier Sixty, LLC","Pier 60, Chelsea Piers New York, NY 10011",New York County,(212) 336-6036,Catering business,291,,Furloughs,Unforeseeable business circumstances prompted by COVID-19,"International Brotherhood of Teamsters, Local 808",Plant Layoff
26,5/22/2020,Temporary Plant Layoff,Gross Polowy LLC,"1775 Wehrle Drive, Suite 100 Williamsville, NY 14221",Erie County,(716) 204-1798,Law firm,146,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
27,3/16/2020,Temporary Plant Closing,New Oceana Restaurant Corp. dba Oceana Restaurant,"120 West 49th Street New York, NY 10020",New York County,(914) 422-5770 Ext,Restaurant,122,122,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
28,5/14/2020,Temporary Plant Layoff,Hilton Times Square Hotel,"234 W 42nd Street New York, NY 10036",New York County,(917) 838-8428,Hotel,152,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19.,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE",Temporary Plant Layoff
29,5/13/2020,Temporary Plant Closing,The Redbury New York,"29 E 29th Street New York, NY 10016",New York County,(212) 651-3843,Hotel,78,78,5/18/2020,Unforeseeable business circumstances prompted by COVID-19.,"New York Hotel & Motel Trades Council, AFL-CIO, affi liated with UNITE HERE",Temporary Plant Closing
30,3/31/2020,Temporary Plant Closing,Asia Five Eight LLC dba TAO Uptown,"42 East 58th Street New York, NY 10022",New York County,(212) 776-9220,Restaurant,197,197,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
31,4/16/2020,Temporary Plant Layoff,Allied Aviation Services Inc.,"266 West 37th Street, 3rd Floor, Suite 302 New York, NY 10018",New York County,(626) 318-4120,Airline Services,32,,4/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
32,3/23/2020,Temporary Plant Layoff,DL1961 Premium Denim Inc.,"121 Varick Street New York, NY 10013",New York County,(646) 514-9738,Denim Retailer,40,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Temporary Plant Layoff
33,4/8/2020,Plant Layoff,Michael Page International Inc.,"622 Third Avenue, 29th Floor New York, NY 10017",New York County,(203) 905-5216,Employment Agency,101,,4/8/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Plant Layoff
34,5/14/2020,Plant Closing,"Feast American Diners, LLC dba Denny's",Finger Lakes Region locations,Monroe/Livingston/Ontario County,(951) 319-0319,Restaurant,187,187,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
35,5/8/2020,Plant Closing,"Feast American Diners, LLC dba Denny's",Southern Region locations,Steuben/Chemung County,(951) 319-0319,Restaurant,64,64,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
36,4/30/2020,Plant Layoff,Grand Street Settlement,"80 Pitt Street New York, NY 10002",New York County,(646) 201-4283,Youth Program Services,206,,6/30/2020,Unforeseeable business circumstances prompted by COVID-19 resulting in loss of funding from the NYC Department of Youth & Community Development,"District Council 1707, Local 215",Plant Layoff
37,3/31/2020,"Temporary Plant 
Closing","BD Stanhope, LLC dba TAO Downtown","92 9th Avenue New York, NY 10011",New York County,(212) 776-9220,Restaurant,242,,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,"Temporary Plant 
Closing"
38,5/18/2020,Plant Closing,Jeffrey New York,"449 West 14th Street New York, NY 10014",New York County,(858) 414-1556,Clothing store,39,39,Will,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
39,4/3/2020,Plant Layoff,"Mid Rockland Imaging Partners, Inc.",(Several sites in Long Island – not all listed),Suffolk/Nassau County,(302) 533-2102,Diagnostic Imaging Center,189,189,27,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
40,4/3/2020,Plant Layoff,"Mid Rockland Imaging Partners, Inc.",(Several New York City sites – not all listed),New York/Kings/Queens/Bronx/Richmond County,(302) 533-2102,Diagnostic Imaging Center,592,592,64,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
41,5/5/2020,Plant Layoff,"Mid Rockland Imaging Partners, Inc.",(Several sites in Mid-Hudson),Westchester/Rockland County,(302) 533-2102,Diagnostic Imaging Center,103,103,10,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
42,3/31/2020,Temporary Plant Layoff,"CSM Sport and Entertainment, Inc.","440 Ninth Ave., 17th Floor New York, NY 10001",New York County,(317) 373-9567,Sport marketing and entertainment,45,,29,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Temporary Plant Layoff
43,5/12/2020,Plant Closing,"MGM Resorts Satellite, LLC","35-24 169th St Flushing, NY 11358",Queens County,(855) 464-6747,Hotel and Events,1,----,The,Unforeseeable business circumstances prompted by COVID-19,The employee is not represented by a union.,Plant Closing
44,5/12/2020,Temporary Plant Closing,"Crescent Hotels & Resorts, LLC (at Hyatt Centric 39th and 5th)","16 E 39th St. New York, NY 10016",New York County,(703) 279-7820,Hotel,8,8,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
45,3/31/2020,Temporary Plant Closing,"Bowery Hospitality Services LLC, dba Vandal","199 Bowery New York, NY 10002",New York County,(212) 776-9220,Restaurant,125,125,3/23/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
46,4/1/2020,Temporary Plant Closing,Chelsea Hospitality Associates LLC dba Feroce Bar Feroce and Fleur Room “Moxy Chelsea F&B”,"105 West 28th Street New York, NY 10001",New York County,(212) 776-9220,Restaurant,174,174,3/23/2020,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Temporary Plant Closing
47,5/14/2020,Plant Closing,"Feast American Diners, LLC dba Denny's","1142 Arsenal Street Watertown, NY 13212",Jefferson County,(951) 319-0319,Restaurant,33,33,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
48,5/14/2020,Plant Closing,"Feast American Diners, LLC dba Denny's",Central Region locations,Onondaga/Cayuga County,(951) 319-0319,Restaurant,240,240,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
49,5/4/2020,Temporary Plant Closing,Rosa Mexicano USQ LLC dba Rosa Mexicano Union Square,"4007 Boston Rd, New York, NY 10466",New York County,(212) 835-1709,Restaurant,105,105,Rosa,Unforeseeable business circumstances prompted by a fire and then COVID-19.,The employees are not represented by a union.,Temporary Plant Closing
50,1/24/2020,Possible Plant Layoff/Plant Closing,Fairway Group Holdings Corp.,"Harlem 2328 12th Avenue New York, NY 10027",New York County,(646) 616-8090,Grocery Store,165,2412,Due,Economic,"UFCW, Local 1500; UFCW, Local 1262; UFCW, Local 371",Possible Plant Layoff/Plant Closing
51,4/27/2020,Temporary Plant Layoff,"Crystal Run Healthcare, (including Crystal Run Transformation Services, LLC and",Crystal Run Healthcare Physicians LLP,Orange/Rockland/Sullivan County,(845) 703-6106,Health Plans,422,422,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
52,5/4/2020 and 5/11/2020,Temporary Plant Layoff,"Crystal Run Healthcare (including Crystal Run Ambulatory Surgery Center of Middletown, LLC)","95 Crystal Run Road Middletown, NY 10941",Orange County,(845) 703-6106,Ambulatory Surgical Center,53,,4/20/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
53,5/1/2020,Plant Closing,"Darden Restaurants, Inc. dba Olive Garden","100 W. 125th St. New York, NY 10027",New York County,(800) 932-2558,Restaurant,To,To,5/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
54,5/5/2020,Temporary Plant Closing,"Crescent Hotels & Resorts, LLC (at Aliz Times Square)","310 West 40th Street New York, NY 10018",New York County,(703) 279-7820,Hotel,19,,Began,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
55,4/6/2020,Temporary Plant Layoff,YMCA of Central New York,"340 Montgomery Street Syracuse, NY 13202",Onondaga County,(315) 256-7442,Social Organization,1236,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
56,3/20/2020,Plant Layoff,Eastchester Chrysler Jeep Dodge Ram,"4007 Boston Rd, Bronx, NY 10466",Bronx County,(845) 320-3163,Car Dealership,33,,Separations,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
57,5/15/2020,Plant Closing,"Brooks Brothers Group, Inc. (Brooks Brothers, Long Island City Ties and Alterations Central Shop)","39-25 Skillman Avenue Sunnyside, NY 11101",Queens County,(860) 930-2855,Tie factory,136,136,Employee,Unforeseeable business circumstances prompted by COVID-19,"New York New Jersey Regional Joint Board of Workers United, Local 25",Plant Closing
58,5/13/2020,Plant Closing,"Marriott Hotel Services, Inc. dba Times Square EDITION","701 7th Avenue New York, NY 10036",New York County,(212) 261-5201,Hotel,210,210,The,Unforeseeable business circumstances prompted by COVID-19 and termination of management agreement to operate the hotel.,"New York Hotel and Motel Trades Council, AFL-CIO",Plant Closing
59,5/5/2020,Temporary Plant Closing,Doubletree by Hilton New York Times Square West,"350 West 40th Street New York, NY 10018",New York County,(703) 279-7820,Hotel,27,27,Furloughs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
60,5/6/2020,Temporary Plant Layoff,"Crescent Hotels & Resorts, LLC (at the Crowne Plaza JFK Airport)","138- 10 135th Avenue Jamaica, NY 11436",New York County,(703) 563-4931,Hotel,30,,Began,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
61,4/6/2020,Temporary Plant Layoff,Hunter Mountain Ski Bowl Inc.,"64 Klein Avenue Hunter, NY 12442",Greene County,(802) 228-1974,Ski Resort,55,,4/6/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
62,5/11/2020,Plant Closing,"Crest Logistics, LLC","105 Rotterdam Industrial Park Rotterdam, NY 12306",Schenectady County,(518) 243-5762,Provides Warehouse and Transportation Management of refrigerated produc,171,171,First,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
63,3/31/2020,Temporary Plant Closing,The Century Association (the Club),"7 West 43rd Street New York, NY 10036",New York County,(516) 695-3075,Social Club,81,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,"Local 6 
Hotel, Restaurant & Club Employees & Bartenders Union, UNITE-HERE",Temporary Plant Closing
64,5/11/2020,Plant Closing,"Crest Logistics, LLC","105 Rotterdam Industrial Park Rotterdam, NY 12306",Schenectady County,(518) 243-5762,Provides Warehouse and Transportation Management of refrigerated products,171,171,First,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Closing
65,4/30/2020,Temporary Plant Layoff,Schwing Electrical Supply Corp. (6 Long Island sites),"122 Allen Boulevard Farmingdale, NY 11735",Nassau County,(631) 391-3330,Wholesale Electrical Supply Distributor,17,35,4/1/2020,Unforeseeable business circumstances prompted by COVID-19,Local Union 1922 IBEW - AFL-CIO,Temporary Plant Layoff
66,12/5/2019,Plant Closing,"Quality Frozen Foods, Inc.","1663 62nd Street Brooklyn, NY 11204",Brooklyn County,(718) 256-9100,Wholesale grocer,79,79,Layoffs,Sale of the business,Teamsters Local 707,Plant Closing
67,5/9/2020,Plant Layoff,Dnata (JFK International Airport),"Queens, NY 11430",Queens County,(917) 456-7629,Airport ground handling services,301,,All,Unforeseeable business circumstances prompted by COVID-19.,"International Union of Allied Novelty and Production Workers, AFL-CIO",Plant Layoff
68,4/22/2020,Temporary Plant Layoff,Zwanger-Pesiri Radiology Group,(8 New York City sites),New York/Queens/Kings/Bronx County,(631) 294-5107,Radiology,66,66,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
69,4/22/2020,Temporary Plant Closing,YMCA of Greater New York (New York YMCA Camp),"160 Big Pond Road Huguenot, NY 12746",Orange County,(212) 630-9614,Day Camp,62,62,4/22/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
70,4/22/2020,Temporary Plant Layoff,Zwanger-Pesiri Radiology Group,(26 Long Island sites),Suffolk County,(631) 294-5107,Radiology,500,500,3/26/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
71,3/30/2020,Temporary Plant Layoff,"1661, Inc. dba GOAT and Flight Club New York, LLC","812 Broadway New York, NY 10003",New York County,(415) 689-4168,Footwear Retailer,77,,77,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
72,4/29/2020,Plant Layoff,"DVF Studio, LLC","440 West 14th Street New York, NY 10014",New York County,(917) 512-5703,Luxury Womens Fashion,28,----,4/24/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
73,5/6/2020,Temporary Plant Closing,"MGM Yonkers, Inc. dba Empire City Casino","810 Yonkers Avenue Yonkers, NY 10704",Yonkers County,(914) 457-2582,Casino,931,1000,During,Unforeseeable business circumstances prompted by COVID-19,"International Union of Operating Engineers Local 30; Local 445M/Local 445P Teamsters Local 445 International Brotherhood of Teamsters (Maintenance) & Teamsters Local 445 International Brotherhood of Teamsters (Parking); Empire State Regional Council of Carpenters, United Brotherhood of Carpenters & Joiners of America; District Council No. 9, International Union of Painters C; Plumbers and Steamfitters Local 21; Local 1105, Communications Workers of America, AFL-CIO; Local 60, Laborers’ International Union of North America; Local 1430, I.B.E.W.; Local 235, Laborers International Union of N.A.; and Local 137, International Union of Operating Engineers",Temporary Plant Closing
74,4/10/2020,"Temporary Plant 
Closing","Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","630 Old Country Road Garden City, NY 11530",Hempstead/Suffolk County,(212) 777-1239,Retail,(,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,"Temporary Plant 
Closing"
75,4/10/2020,Temporary Plant Closing,"Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","424 Columbus Avenue New York, NY 10024",New York/Kings County,(212) 777-1239,Retail,84,,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
76,4/27/2020,Temporary Plant Layoff,"Urban Health Plan, Inc.",(Multiple New York City sites),New York/Bronx/Queens County,(917) 667-4298,Health Care,249,,4/27/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
77,4/13/2020,Temporary Plant Layoff,Wonton Food Inc.,"220-222 Moore Street Brooklyn, NY 11206",Kings/Queens County,(929) 337-1010,Restaurant,85,349,Layoffs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
78,4/13/2020,Temporary Plant Layoff,Wonton Food Inc.,"235 Express Street Plainview, NY 11803",Nassau County,(929) 337-1010,Restaurant,16,55,Layoffs,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
79,4/20/2020,Temporary Plant Layoff,American Steamship Company,"500 Essjay Road Williamsville, NY 14221",Erie County,(716) 635-1353,Transportation,185,,4/20/2020.,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
80,1/24/2020,Possible Plant Layoff,Fairway Group Holdings Corp.,"Harlem 2328 12th Avenue New York, NY 10027",New York County,(646) 616-8090,Grocery Store,165,2456,Due,Economic,"UFCW, Local 1500; UFCW, Local 1262; UFCW, Local 371",Possible Plant Layoff
81,1/15/2020,Plant Layoff,ViacomCBS Inc. (and its subsidiaries),"51 West 52nd Street New York, NY 10019",New York County,(310) 752-8005,Viacom operates as an entertainment media company that offers television programs and motion pictures.,450,,This,Economic,The employees are not represented by a union.,Plant Layoff
82,5/8/2020,Temporary Plant Closing,Sankara NY LLC dba Castle Hotel and Spa,"400 Benedict Avenue Tarrytwon, NY 10591",Westchester County,(914) 646-3945,Hotel & Spa,84,84,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
83,5/7/2020,Plant Layoff,"Kickstarter, PBC","58 Kent Street Brooklyn, NY 11222",New York County,Not Provided,Operates as an internet website that provides tools to raise funds for various community projects through crowd funding resources.,25,,5/15/2020,Unforeseeable business circumstances prompted by COVID-19,Office & Professional Employees International Union (OPEIU),Plant Layoff
84,5/8/2020,Temporary Plant Closing,The University Club of New York,"One West 54th Street New York, NY 10019",NewYork County,(212) 572-3470,Fitness & Recreation Sports Center,243,243,4/12/2020,Unforeseeable business circumstances prompted by COVID-19,"Hotel, Restaurant and Club Employees and Bartenders Union, Local 6, UNITE HERE, AFL-CIO",Temporary Plant Closing
85,4/9/2020,Temporary Plant Layoff,VSP Global,Multiple Long Island sites,Suffolk County,(631) 629-3277,Ophthalmologist,244,,176,Unforeseeable business circumstances prompted by COVID-19.,The employees are not represented by a union.,Temporary Plant Layoff
86,4/9/2020,Temporary Plant Layoff,VSP Global,Two New York City Sites,New York County,(631) 629-3277,Ophthalmologist/Optician,17,,First,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
87,3/20/2020,Temporary Plant Layoff/Plant Layoff,"The Maines Paper & Food Service, Inc.","101 Broome Corporate Pkwy. Conklin, NY 13748",Broome County,(607) 779-1343,Food service distribution,416,373,3/18/2020,Unforeseeable business circumstances prompted by COVID-19 and the sale of their Broadline operations has not occurred.,The employees are not represented by a union,Temporary Plant Layoff/Plant Layoff
88,4/3/2020,Temporary Plant Closing,"Rag & Bone Industries, LLC and Rag Traders Retail, LLC",(Multiple New York City sites),Kings/New York County,(646) 776-8913,Retail,177,177,3/31/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Closing
89,3/22/2020,Temporary Plant Layoff,70 Pine Ops dba Crown Shy,"70 Pine Street New York, NY 10005",New York County,(212) 517-1932,Restaurant,170,,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union,Temporary Plant Layoff
90,2/19/2020,Plant Layoff,CBRE,"275 7th Avenue, 17th Floor New York, NY 10011",New York County,(214) 438-8850,Commercial Real Estate Services,47,57,5/22/2020,Reduction in workload due to a change in business priorities.,The employees are not represented by a union.,Plant Layoff
91,4/2/2020,Temporary Plant Layoff,Hudson's Bay Company,"225 Liberty Street New York, NY 10281",New York County,(917) 763-5290,Retail,492,492,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
92,4/28/2020,Plant Layoff,TripAdvisor LLC,"17 Battery Place New York, NY 10004",New York County,(781) 800-5341,American online travel company,37,,5/5/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Plant Layoff
93,4/27/2020,Temporary Plant Layoff,"Crystal Run Healthcare, (including Crystal Run Transformation Services, LLC)","109 Rykowski Lane Middletown, NY 10941",Orange/Rockland/Sullivan County,(845) 703-6106,Health Plans,366,366,4/13/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
94,5/7/2020,Temporary Plant Closing,Family YMCA of the Glens Falls Area,"600 Glen Street Glens Falls, NY 12801",Warren County,(518) 761-5611,"Leading voice on youth development, health, and well-being.",200,224,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
95,3/30/2020,Temporary Plant Closing,BSWR Corp dba Sarabeths,"423 Amsterdam Ave. New York, NY 10124",New York County,(973) 214-7883,Restaurant,37,37,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Closing
96,5/4/2020,Temporary Plant Closing,Michael Cetta Inc. dba Sparks Steak House,"210 East 46th Street New York, NY 10017",New York County,(212) 687-4806,Restaurant,71,71,3/28/2020,Unforeseeable business circumstances prompted by COVID-19,The employees are not represented by a union.,Temporary Plant Closing
97,4/28/2020,Temporary Plant Layoff,"Suffolk Transportation Service, Inc.","10 Moffitt Boulevard Bay Shore, NY 11706",Suffolk County,(631) 665-3245 Ext,Transportation,"1,218",,First,Unforeseeable business circumstances prompted by COVID-19,"Local 252, Transport Workers Union",Temporary Plant Layoff
